"https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","List of population milestones by country","List of population milestones by country","List of population milestones by country","List of population milestones by country","List of population milestones by country"
77,"Benin",12910087,0.20000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Bermuda",64055,0.00080000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
160,"Bhutan",777224,0.01000000,2024,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
79,"Bolivia",12006031,0.10000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
133,"Bosnia and Herzegovina",3264873,0.04000000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
141,"Botswana",2410338,0.03000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
7,"Brazil",203080756,2.50000000,1,2022,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","British Virgin Islands",31538,0.00040000,1,"UN projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
169,"Brunei",445400,0.00500000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
110,"Bulgaria",6445481,0.08000000,31/12/2023,"Official annual estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
58,"Burkina Faso",23409015,0.30000000,1,"National projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
78,"Burundi",12837740,0.20000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
71,"Cambodia",17336307,0.20000000,1,"Official projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
52,"Cameroon",28758503,0.40000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
36,"Canada",41288599,0.50000000,1,"National quarterly estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
168,"Cape Verde",491233,0.00600000,16,2021,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Cayman Islands",71105,0.00090000,30/09/2020,2021,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
109,"Central African Republic",6470307,0.08000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
66,"Chad",18675547,0.20000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
63,"Chile",20086377,0.20000000,30,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" 1/2 ","China",1409670000,17.30000000,31/12/2023,"Official estimate","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Christmas Island",1692,0,01/01/2021,2021,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Cocos (Keeling) Islands",593,0,30,2021,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
27,"Colombia",52695952,0.60000000,01/01/2024,"Official projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
158,"Comoros",900141,0.01000000,2024,2024,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Cook Islands",15040,0.00020000,1,2021,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
122,"Costa Rica",5309625,0.07000000,30,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
128,"Croatia",3859686,0.05000000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
85,"Cuba",11089511,0.10000000,31/12/2022,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
