city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,CONTINENT
Aix-en-Provence,Aix-en-Provence,43.5263,5.4454,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,147933,1250001687,E
Szombathely,Szombathely,47.2351,16.6219,Hungary,HU,HUN,Vas,admin,147920,1348565183,E
Jyväskylä,Jyvaskyla,62.2417,25.7417,Finland,FI,FIN,Keski-Suomi,admin,147856,1246938345,E
Clermont-Ferrand,Clermont-Ferrand,45.7831,3.0824,France,FR,FRA,Auvergne-Rhône-Alpes,minor,147751,1250135509,E
Kramatorsk,Kramatorsk,48.7392,37.5839,Ukraine,UA,UKR,Donetska Oblast,minor,147145,1804461469,E
West Bromwich,West Bromwich,52.519,-1.995,United Kingdom,GB,GBR,Sandwell,,146386,1826231773,E
Stavanger,Stavanger,58.97,5.7314,Norway,NO,NOR,Rogaland,admin,146011,1578801684,E
Gloucester,Gloucester,51.8653,-2.2458,United Kingdom,GB,GBR,Gloucestershire,,145563,1826932068,E
Foggia,Foggia,41.4584,15.5519,Italy,IT,ITA,Puglia,minor,145348,1380084447,E
Le Mans,Le Mans,48.0077,0.1984,France,FR,FRA,Pays de la Loire,minor,145182,1250829671,E
Arad,Arad,46.175,21.3125,Romania,RO,ROU,Arad,admin,145078,1642996909,E
Salamanca,Salamanca,40.965,-5.6642,Spain,ES,ESP,Castille-Leon,minor,144866,1724960825,E
Poole,Poole,50.7167,-1.9833,United Kingdom,GB,GBR,"Bournemouth, Christchurch and Poole",,144800,1826379738,E
Lleida,Lleida,41.6167,0.6333,Spain,ES,ESP,Catalonia,minor,144739,1724114678,E
Aalborg,Aalborg,57.0337,9.9166,Denmark,DK,DNK,Nordjylland,admin,143598,1208789278,E
Miskolc,Miskolc,48.1,20.7833,Hungary,HU,HUN,Borsod-Abaúj-Zemplén,admin,143502,1348668815,E
Huelva,Huelva,37.25,-6.95,Spain,ES,ESP,Andalusia,minor,143290,1724420824,E
Telford,Telford,52.6766,-2.4469,United Kingdom,GB,GBR,Telford and Wrekin,,142723,1826968934,E
